,IRN,ORGANIZATION NAME,SCHOOL TYPE,GRADE SPAN,ORGANIZATION TYPE,ORGANIZATION CATEGORY,STATUS,DESIGNATED COUNTY,WEB URL,ORG EMAIL ADDRESS,Address,ORG PHONE,ORG FAX,SUPERINTENDENT,SUPERINTENDENT EMAIL,SUPERINTENDENT PHONE,TREASURER,TREASURER EMAIL,TREASURER PHONE,PRINCIPAL,PRINCIPAL EMAIL,PRINCIPAL PHONE,PARENT IRN,PARENT ORGANIZATION NAME,Latitude,Longitude
447,"=""007757""",Cridersville Elementary School,Elementary School,"K-4,P",Public School,School,Open,Auglaize,,,"501 Reichelderfer Road, Cridersville, Ohio, 45806",(419) 645-3000,,,,,,,,Jason Wolke,wolkja@wapak.org,(419) 236-4716,"=""044982""",Wapakoneta City,40.6491322,-84.1498204
448,"=""007773""",Crim Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Wood,http://www.bgcs.k12.oh.us,zkellough@bgcs.k12.oh.us,"1020 Scott Hamilton Ave, Bowling Green, Ohio, 43402",(419) 354-0400,,,,,,,,Zebulun Kellough,zkellough@bgcs.k12.oh.us,(419) 334-5463,"=""043638""",Bowling Green City School District,41.37052389999999,-83.6366303
449,"=""007799""",Crissey Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Lucas,,,"9220 Geiser Rd, Holland, Ohio, 43528",(419) 867-5677,(419) 867-5739,,,,,,,Oatis Amick,oatisamick@yahoo.com,(419) 787-8441,"=""048223""",Springfield Local,41.61046020000001,-83.76261269999999
450,"=""007815""",Croghan Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Sandusky,,piercel@fremontschools.net,"1110 Chestnut St, Fremont, Ohio, 43420",(419) 332-1511,(419) 332-4314,,,,,,,Lori Pierce,piercel@fremontschools.net,(419) 334-5444,"=""044016""",Fremont City,41.3468622,-83.0954008
451,"=""007823""",Crooksville High School,High School,"=""9-12""",Public School,School,Open,Perry,,,"4075 Ceramic Way, Crooksville, Ohio, 43731",(740) 982-7015,(740) 982-3086,,,,,,,Scott Searing,ssearingiv@gmail.com,(614) 214-8534,"=""045351""",Crooksville Exempted Village,39.7444267,-82.0884183
452,"=""007849""",Crosby Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Hamilton,,,"8382 New Haven Rd, Harrison, Ohio, 45030",(513) 738-1717,(513) 738-1718,,,,,,,Joanne Aghotte,joanne.aghotte@southwestschools.org,(513) 515-3736,"=""047381""",Southwest Local,39.2766386,-84.71695799999999
453,"=""007856""",Byrnedale Elementary School,Elementary School,"=""K-8""",Public School,School,Open,Lucas,,tdresche@tps.org,"3635 Glendale Ave, Toledo, Ohio, 43614",(419) 671-2200,,,,,,,,Thomas Drescher,tdresche@tps.org,(419) 266-6002,"=""044909""",Toledo City,41.610385,-83.629547
454,"=""007864""",Crouse Community Learning Center,Elementary School,"=""K-6""",Public School,School,Open,Summit,www.akronschools.com,,"1000 Diagonal Rd, Akron, Ohio, 44320",(330) 761-1625,(330) 761-1371,,,,,,,TARA Bruce,tgb27519@apslearns.org,(904) 307-4305,"=""043489""",Akron City,41.0768277,-81.5529152
455,"=""007898""",Currie Elementary School,Elementary School,"=""K-2""",Public School,School,Open,Trumbull,,,"3306 Ridge Rd, Cortland, Ohio, 44410",(330) 637-2976,,,,,,,,Michael King,michael.king@mathewslocal.org,(330) 637-3500,"=""050153""",Mathews Local,41.30842699999999,-80.687254
456,"=""007906""",Brookfield Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Trumbull,,,"614 Bedford Rd SE, Brookfield, Ohio, 44403",(330) 619-5240,(330) 619-5242,,,,,,,Stacey Filicky,stacey.filicky@brookfieldschools.us,(330) 717-1547,"=""050120""",Brookfield Local ,41.2257896,-80.56142229999999
457,"=""007930""",Cuyahoga Falls High School,High School,"=""9-12""",Public School,School,Open,Summit,,cf_bogdan@cfalls.org,"2300 4th St, Cuyahoga Falls, Ohio, 44221",(330) 926-3808,(330) 916-6013,,,,,,,Allison Bogdan,allibogs44@gmail.com,(330) 858-8909,"=""043836""",Cuyahoga Falls City,41.1394062,-81.4874655
458,"=""007948""",Cuyahoga Hts Elementary School,Elementary School,"K-5,P",Public School,School,Open,Cuyahoga,,,"4880 E 71st St, Cuyahoga Heights, Ohio, 44125",(216) 429-5880,(216) 429-5883,,,,,,,Joy Houchen,jhouchen@cuyhts.org,(216) 429-5880,"=""046557""",Cuyahoga Heights Local,41.4261927,-81.64364669999999
459,"=""007955""",Cuyahoga Hts High School,High School,"=""9-12""",Public School,School,Open,Cuyahoga,,,"4820 E 71st St, Cuyahoga Heights, Ohio, 44125",(216) 429-5707,,,,,,,,Patrick Coleman,pcoleman@cuyhts.org,(216) 429-5708,"=""046557""",Cuyahoga Heights Local,41.4277357,-81.64355259999999
460,"=""007963""",Elmwood Middle School,Middle School,"=""5-8""",Public School,School,Open,Wood,,,"7650 Jerry City Rd, Bloomdale, Ohio, 44817",(419) 655-2583,(419) 655-2153,,,,,,,Roger Frank,franr@elmls.net,(419) 655-2583,"=""050682""",Elmwood Local,41.255188,-83.5520465
461,"=""007997""",Dalton Elementary School,Elementary School,"K-4,P",Public School,School,Open,Wayne,,,"250 N Church St, Dalton, Ohio, 44618",(330) 828-2707,(330) 828-2802,,,,,,,Cherie Marthey,cmarthey@daltonlocal.org,,"=""050542""",Dalton Local,40.8046042,-81.6982862
462,"=""008003""",Dalton High School,High School,"=""9-12""",Public School,School,Open,Wayne,,,"177 Mill St N, Dalton, Ohio, 44618",(330) 828-2261,(330) 828-2904,,,,,,,Christopher Black,cblack@daltonlocal.org,(330) 828-2261,"=""050542""",Dalton Local,40.8035076,-81.69594819999999
463,"=""008029""",Dan Emmett Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Knox,,,"108 Mansfield Ave, Mount Vernon, Ohio, 43050",(740) 393-5950,(740) 393-5953,,,,,,,Margaret Arck,marck@mt-vernon.k12.oh.us,(740) 393-5950,"=""044420""",Mount Vernon City,40.4078583,-82.4863591
464,"=""008037""",Starling PK-8,Elementary School,"P,K-8",Public School,School,Open,Franklin,,,"145 S Central Ave, Columbus, Ohio, 43222",(614) 365-5945,,,,,,,,Angela Tyler,amooretyler9496@columbus.k12.oh.us,(614) 476-4502,"=""043802""",Columbus City School District,39.95459779999999,-83.03857099999999
465,"=""008045""",Danbury Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Ottawa,www.danbury.k12.oh.us,humphreyd@danbury.k12.oh.us,"9451 E Harbor Rd, Lakeside Marblehead, Ohio, 43440",(419) 798-4081,(419) 798-2261,,,,,,,Daniel Humphrey Jr,humphreyd@danburyschools.org,(440) 225-9648,"=""048934""",Danbury Local,41.536318,-82.754286
466,"=""008052""",Danbury High School,High School,"=""9-12""",Public School,School,Open,Ottawa,,,"9451 E Harbor Rd, Lakeside Marblehead, Ohio, 43440",(419) 798-4037,(419) 798-2262,,,,,,,Joseph Miller,millerj@danburyschools.org,(419) 656-3915,"=""048934""",Danbury Local,41.536318,-82.754286
467,"=""008060""",Daniel E Morgan School,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,,,"8912 Morris Ct, Cleveland, Ohio, 44106",(216) 838-1400,,,,,,,,Dessie Sanders,Dessie.Sanders@clevelandmetroschools.org,(216) 561-0126,"=""043786""",Cleveland Municipal,41.516936,-81.625275
468,"=""008078""",Danville Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Knox,,,"205 Rambo St, Danville, Ohio, 43014",(740) 599-6116,(740) 599-5904,,,,,,,Tara Stringfellow-Bond,tara.bond@danvilleschools.org,(740) 390-0418,"=""047837""",Danville Local ,40.4482454,-82.2638465
469,"=""008086""",Danville High School,High School,"=""9-12""",Public School,School,Open,Knox,,,"10 Rambo St, Danville, Ohio, 43014",(740) 599-6116,(740) 599-5418,,,,,,,Edward Honabarger,ed.honabarger@danvilleschools.org,(740) 599-6116,"=""047837""",Danville Local ,40.4473063,-82.2616398
470,"=""008102""",Darbydale Elementary School,Elementary School,"H,K,1-4",Public School,School,Open,Franklin,,,"7000 London Groveport Rd, Grove City, Ohio, 43123",(614) 801-8050,(614) 801-8060,,,,,,,James Micciulla,james.micciulla@swcsd.us,(614) 746-4710,"=""044800""",South-Western City,39.8535403,-83.18662549999999
471,"=""008110""",Gilbert A. Dater High School,High School,"=""7-12""",Public School,School,Open,Hamilton,,,"2146 Ferguson Rd, Cincinnati, Ohio, 45238",(513) 363-7200,(513) 363-7220,,,,,,,Ana Salazar,arsalazar@gmail.com,(734) 340-8558,"=""043752""",Cincinnati Public Schools,39.124978,-84.60130199999999
472,"=""008136""",David Anderson Jr/Sr High School,High School,"=""6-12""",Public School,School,Open,Columbiana,,keith.edenfield@omeresa.net,"260 W Pine St, Lisbon, Ohio, 44432",(330) 424-3215,(330) 424-1004,,,,,,,Keith Edenfield,keith.edenfield@omeresa.net,(330) 506-7955,"=""045450""",Lisbon Exempted Village,40.7754336,-80.7725341
473,"=""008151""",David Smith Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Delaware,WWW.DCS.K12.OH.US,,"355 N Liberty St, Delaware, Ohio, 43015",(740) 833-1350,(740) 833-1399,,,,,,,Rochelle Thompson,thompsro@delawarecityschools.net,(740) 244-3114,"=""043877""",Delaware City,40.3101871,-83.0726292
474,"=""008185""",Daw Elementary School,Elementary School,"=""4-7""",Public School,School,Open,Columbiana,,bstellers@Wellsville.k12.oh.us,"929 Center St, Wellsville, Ohio, 43968",(330) 532-1372,(330) 532-6204,,,,,,,,,,"=""045039""",Wellsville Local,40.6040788,-80.6487327
475,"=""008201""",Primary Elementary School,Elementary School,"K-2,P",Public School,School,Open,Crawford,,,"478 Portland Way N, Galion, Ohio, 44833",(419) 468-4010,(419) 468-4333,,,,,,,Melisa Stone-Watters,watters.melisa@galionschools.org,(419) 610-9582,"=""044024""",Galion City,40.7396309,-82.8006758
476,"=""008219""",Dawson-Bryant High School,High School,"=""9-12""",Public School,School,Open,Lawrence,,dean.mader@db.k12.oh.us,"1 Hornet Ln, Coal Grove, Ohio, 45638",(740) 532-6345,(740) 533-6013,,,,,,,Dean Mader,dean.mader@db.k12.oh.us,(740) 532-6345,"=""047928""",Dawson-Bryant Local,38.5031842,-82.64587209999999
477,"=""008227""",Dawson-Bryant Middle School,Middle School,"=""6-8""",Public School,School,Open,Lawrence,,rick.roach@db.k12.oh.us,"1 Hornet Ln, Coal Grove, Ohio, 45638",(740) 532-1664,(740) 533-6003,,,,,,,Richard Roach,Rick.roach@db.k12.oh.us,(740) 532-6898,"=""047928""",Dawson-Bryant Local,38.5031842,-82.64587209999999
478,"=""008250""",Deer Park  Jr/Sr High School,High School,"=""7-12""",Public School,School,Open,Hamilton,,,"8351 Plainfield Rd, Cincinnati, Ohio, 45236",(513) 891-0010,(513) 891-3845,,,,,,,Stacy Orso,orso.s@dpccsd.org,(513) 890-0010,"=""043851""",Deer Park Community City,39.210576,-84.3994274
479,"=""008284""",Dawson-Bryant Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Lawrence,,angie.dillow@db.k12.oh.us,"4503 State Route 243, Ironton, Ohio, 45638",(740) 532-6898,(740) 534-5582,,,,,,,Angela LaFon,angie.dillow@db.k12.oh.us,(740) 532-6898,"=""047928""",Dawson-Bryant Local,38.5040246,-82.5818815
480,"=""008292""",Defiance Middle School,Middle School,"=""6-8""",Public School,School,Open,Defiance,,,"1755 Palmer Dr, Defiance, Ohio, 43512",(419) 782-0050,(419) 782-4395,,,,,,,Matthew Carr,m_carr@pauldingschools.org,(419) 956-1087,"=""043869""",Defiance City,41.2640775,-84.3596269
481,"=""008300""",Defiance High School,High School,"=""9-12""",Public School,School,Open,Defiance,,,"1755 Palmer Dr, Defiance, Ohio, 43512",(419) 784-2777,(419) 784-0102,,,,,,,Jay Jerger,jjerger@defcity.org,(419) 784-2777,"=""043869""",Defiance City,41.2640775,-84.3596269
482,"=""008318""",Delhi Middle School,Middle School,"=""6-8""",Public School,School,Open,Hamilton,,,"5280 Foley Rd, Cincinnati, Ohio, 45238",(513) 922-8400,(513) 922-8472,,,,,,,Scott Toon,toon_s@ohlsd.org,(513) 922-8400,"=""047373""",Oak Hills Local ,39.1046098,-84.6151242
483,"=""008326""",Carrollton Elementary School,Elementary School,"K-5,P",Public School,School,Open,Carroll,www.carrolltonschools.org,matthew.nicholas@carrolltonschools.org,"252 3rd St NE, Carrollton, Ohio, 44615",(330) 627-4592,,,,,,,,Matthew Nicholas,matthew.nicholas@carrolltonschools.org,(330) 324-2970,"=""045278""",Carrollton Exempted Village,40.5732645,-81.0825369
484,"=""008334""",Delta Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Fulton,,,"1099 Panther Pride Drive, Delta, Ohio, 43515",(419) 822-5630,(419) 822-2828,,,,,,,Ellen Bernal,EBernal@pdys.org,(419) 351-8306,"=""047084""",Pike-Delta-York Local,41.5796901,-83.9944148
485,"=""008342""",Pike-Delta-York High School,High School,"=""9-12""",Public School,School,Open,Fulton,,,"605 Taylor St, Delta, Ohio, 43515",(419) 822-8247,(419) 822-2826,,,,,,,Kristie Reighard,Kreighard@pdys.org,(419) 266-2677,"=""047084""",Pike-Delta-York Local,41.5827313,-84.0000508
486,"=""008359""",Pike-Delta-York Middle School,Middle School,"=""5-8""",Public School,School,Open,Fulton,,,"1101 Panther Pride Dr, Delta, Ohio, 43515",(419) 822-9118,(419) 822-8490,,,,,,,Douglas Ford,dford@pdys.org,(419) 822-9118,"=""047084""",Pike-Delta-York Local,41.5804288,-83.9944482
487,"=""008375""",Demmitt Elementary School,Elementary School,"K-3,P",Public School,School,Open,Montgomery,www.vandaliabutlerschools.org,,"1010 E National Rd, Vandalia, Ohio, 45377",(937) 415-6500,(937) 415-6538,,,,,,,Garry Martin,garry.martin@vbcsd.com,(937) 415-6533,"=""044958""",Vandalia-Butler City,39.891988,-84.17689519999999
488,"=""008383""",Denison,Elementary School,"=""K-8""",Public School,School,Open,Cuyahoga,,,"3799 W 33rd St, Cleveland, Ohio, 44109",(216) 838-3250,,,,,,,,Sonja Thornton-Clark,sonja.clark@clevelandmetroschools.org,(216) 486-1907,"=""043786""",Cleveland Municipal,41.451638,-81.70417499999999
489,"=""008391""",Dentzler Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Cuyahoga,,dzurnakr@parmacityschools.org,"3600 Dentzler Rd, Parma, Ohio, 44134",(440) 885-2430,(440) 885-3704,,,,,,,Renee Dzurnak,rrdzurnak@sbcglobal.net,(440) 221-8421,"=""044636""",Parma City,41.3714427,-81.71055240000001
490,"=""008409""",Denver Place Elementary School,Elementary School,"=""3-4""",Public School,School,Open,Clinton,,,"291 Lorish Ave, Wilmington, Ohio, 45177",(937) 382-2380,(937) 382-2380,,,,,,,,,,"=""045112""",Wilmington City,39.4548906,-83.8231876
491,"=""008433""",Patrick Henry High School,High School,"=""9-12""",Public School,School,Open,Henry,,,"6900 State Route 18, Hamler, Ohio, 43524",(419) 274-3015,(419) 274-1641,,,,,,,ADAM WAGNER,awagner@phpatriots.org,,"=""047597""",Patrick Henry Local,41.22599,-83.9960838
492,"=""008441""",DeVeaux Elementary School,Elementary School,"=""K-8""",Public School,School,Open,Lucas,,rschade@tps.org,"2620 W Sylvania Ave, Toledo, Ohio, 43613",(419) 671-3200,,,,,,,,SHAUN Mitchell,smitchel2@tps.org,,"=""044909""",Toledo City,41.6933002,-83.60788889999999
493,"=""008474""",Devonshire Alternative Elementary School,Elementary School,"K-5,P",Public School,School,Open,Franklin,,,"6286 Ambleside Dr, Columbus, Ohio, 43229",(614) 365-5335,,,,,,,,Anastasia Scott,abrown6713@columbus.k12.oh.us,(614) 622-1848,"=""043802""",Columbus City School District,40.094615,-82.982995
494,"=""008490""",Dike School of Arts,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,,,"2501 E 61st St, Cleveland, Ohio, 44104",(216) 838-9150,,,,,,,,Alisha Starks,alisha.starks@clevelandmetroschools.org,(216) 338-1905,"=""043786""",Cleveland Municipal,41.4907618,-81.6470444
495,"=""008508""",West Muskingum Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Muskingum,www.westmschools.org,,"200 Kimes Rd, Zanesville, Ohio, 43701",(740) 455-4058,(740) 455-2592,,,,,,,Ryan McLane,rmclane@westmschools.org,(513) 505-3208,"=""048884""",West Muskingum Local,39.9571741,-82.0876083
496,"=""008532""",Dixie High School,High School,"=""9-12""",Public School,School,Open,Montgomery,,bwolgast@newlebanonschools.org,"300 S Fuls Rd, New Lebanon, Ohio, 45345",(937) 687-1366,(937) 687-7074,,,,,,,Brad Wolgast,brad.wolgast@newlebanonschools.org,(937) 687-1366,"=""048710""",New Lebanon Local School District,39.7418726,-84.4026789
497,"=""008540""",Joshua Dixon Elementary School,Elementary School,"K-4,P",Public School,School,Open,Columbiana,,,"333 N Middle St, Columbiana, Ohio, 44408",(330) 482-5355,(330) 482-5358,,,,,,,Kimberly Sharshan,kim.sharshan@columbianaschools.org,(330) 482-5355,"=""045328""",Columbiana Exempted Village,40.8945166,-80.6976481
498,"=""008557""",Eaton Middle School,Middle School,"=""6-8""",Public School,School,Open,Preble,,,"602 Hillcrest Dr, Eaton, Ohio, 45320",(937) 456-2286,(937) 456-2022,,,,,,,Brian Camp,brian.camp@wilmington.k12.oh.us,(937) 283-7442,"=""043935""",Eaton Community City,39.7329385,-84.64556309999999
499,"=""008581""",Dominion Middle School,Middle School,"=""6-8""",Public School,School,Open,Franklin,,,"330 E Dominion Blvd, Columbus, Ohio, 43214",(614) 365-6020,,,,,,,,Dorothy Flanagan,dflanaga@columbus.k12.oh.us,(740) 881-1113,"=""043802""",Columbus City School District,40.0540678,-83.01020369999999
500,"=""008607""",Donnell Middle School,Middle School,"=""6-8""",Public School,School,Open,Hancock,,dwilliams@findlaycityschools.org,"301 Baldwin Ave, Findlay, Ohio, 45840",(419) 425-8370,(419) 429-3764,,,,,,,Donald Williams,dwilliams@findlaycityschools.org,(419) 425-8240,"=""043984""",Findlay City,41.0263763,-83.6532127
501,"=""008615""",Donnelsville Elementary School,Elementary School,"=""2-3""",Public School,School,Open,Clark,,jay.burkholder@tecumsehlocal.org,"150 E. Main St, Donnelsville, Ohio, 45319",(937) 845-4540,(937) 845-4504,,,,,,,John Burkholder,jay.burkholder@tecumsehlocal.org,(937) 231-9992,"=""046243""",Tecumseh Local,39.9195001,-83.94388289999999
502,"=""008623""",Dorothy E Lewis Elementary School,Elementary School,"K,1-4,UNG",Public School,School,Open,Cuyahoga,,,"32345 Cannon Rd, Solon, Ohio, 44139",(440) 349-6225,(440) 349-8012,,,,,,,Michael Acomb,mikeacomb@solonboe.org,(440) 349-6228,"=""046607""",Solon City,41.410958,-81.44975199999999
503,"=""008649""",Dorr Street Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Lucas,,,"1205 King Rd, Toledo, Ohio, 43617",(419) 867-5666,(419) 867-5734,,,,,,,Cheri Copeland-Shull,chericopeland-shull@springfield-schools.org,,"=""048223""",Springfield Local,41.65276430000001,-83.72393989999999
504,"=""008672""",Johnstown Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Licking,,,"200 Leafy Dell Road, Johnstown, Ohio, 43031",(740) 967-5461,,,,,,,,Janet Smith,smithpetro@aol.com,(740) 501-0033,"=""047985""",Johnstown-Monroe Local,40.1626384,-82.6844
505,"=""008680""",Memorial School,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,,,"410 E 152nd St, Cleveland, Ohio, 44110",(216) 838-0850,,,,,,,,Maria Dinkins,mazghms60@msn.com,(440) 429-0512,"=""043786""",Cleveland Municipal,41.5710747,-81.5762658
506,"=""008698""",Frederick Douglass School,Elementary School,"K-6,P",Public School,School,Open,Hamilton,,,"2627 Park Ave, Cincinnati, Ohio, 45206",(513) 363-1900,(513) 363-1920,,,,,,,Jeffery Hall,halljef@cps-k12.org,(937) 212-2725,"=""043752""",Cincinnati Public Schools,39.1282823,-84.4864267
507,"=""008706""",Dover Avenue Elementary School,Elementary School,"=""4-5""",Public School,School,Open,Tuscarawas,,,"125 W 13th St, Dover, Ohio, 44622",(330) 364-7117,(330) 343-7070,,,,,,,Renee Sattler,sattlerr@dovertornadoes.com,(330) 364-7117,"=""043893""",Dover City,40.5327144,-81.4856935
508,"=""008722""",Dover High School,High School,"=""9-12""",Public School,School,Open,Tuscarawas,,,"520 N Walnut St, Dover, Ohio, 44622",(330) 364-7148,(330) 343-7070,,,,,,,Teresa Alberts,albertst@dovertornadoes.com,(330) 364-7148,"=""043893""",Dover City,40.5233054,-81.4817046
509,"=""008730""",Dowds Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Richland,,,"18 Seneca Dr, Shelby, Ohio, 44875",(419) 342-4641,(419) 342-2825,,,,,,,Kristin Jones,jones.kristin@shelbyk12.org,(419) 342-4641,"=""044776""",Shelby City,40.8687619,-82.64691529999999
510,"=""008748""",Chippewa Intermediate School,Middle School,"=""3-6""",Public School,School,Open,Wayne,,chip_jzollinger@tccsa.net,"100 Valley View Rd, Doylestown, Ohio, 44230",(330) 658-2214,,,,,,,,Jamie Zollinger,chip_jzollinger@tccsa.net,(330) 658-2214,"=""050534""",Chippewa Local,40.9613859,-81.69232559999999
511,"=""008763""",Indian Hill Elementary School,Elementary School,"=""3-5""",Public School,School,Open,Hamilton,,whitney.buell@indianhillschools.org,"6100 Drake Rd, Cincinnati, Ohio, 45243",(513) 272-4703,(513) 272-4708,,,,,,,Whitney Buell,whitney.buell@indianhillschools.org,(513) 314-7225,"=""045435""",Indian Hill Exempted Village,39.1767745,-84.3446092
512,"=""008789""",Driscoll Elementary School,Elementary School,"=""2-5""",Public School,School,Open,Montgomery,,erin.bucher@centerville.k12.oh.us,"5767 Marshall Rd, Dayton, Ohio, 45429",(937) 434-0562,(937) 434-0393,,,,,,,Erin Bucher,erin.bucher@centerville.k12.oh.us,(740) 707-1608,"=""043737""",Centerville City,39.6619855,-84.1488724
513,"=""008805""",Dueber Elementary School,Elementary School,"K-2,P",Public School,School,Open,Stark,,,"815 Dueber Ave SW, Canton, Ohio, 44706",(330) 580-3517,,,,,,,,Lori Kochan,kochan_l@ccsdistrict.org,(330) 418-9440,"=""043711""",Canton City,40.7942091,-81.3945399
514,"=""008813""",Dunbar Elementary School,Elementary School,"=""K-2""",Public School,School,Open,Summit,,,"731 Dunbar Rd, Tallmadge, Ohio, 44278",(330) 633-4515,(330) 630-5981,,,,,,,Courtney Davis,davis.courtney@tallmadgeschools.org,(330) 633-4515,"=""044883""",Tallmadge City,41.08027209999999,-81.4055427
515,"=""008821""",Dunbar Early College High School,High School,"=""9-12""",Public School,School,Open,Montgomery,,pdcombs@dps.k12.oh.us,"1400 Albritton Dr, Dayton, Ohio, 45408",(937) 542-6760,(937) 542-6761,,,,,,,Sean Henry,shenry@daytonpublic.com,(937) 542-6784,"=""043844""",Dayton City,39.734241,-84.232103
516,"=""008839""",Duncan Falls Elementary School,Elementary School,"K-5,P",Public School,School,Open,Muskingum,http://www.franklinlocalschools.org,,"397 Oak St, Duncan Falls, Ohio, 43734",(740) 674-5211,(740) 674-4117,,,,,,,Pamela Hartman,pam.hartman@franklinlocalschools.org,(740) 674-5211,"=""048843""",Franklin Local ,39.877251,-81.91196099999999
517,"=""008847""",Philo Junior High School,Junior High School,"=""6-8""",Public School,School,Open,Muskingum,http://www.franklin-local.k12.oh.us,,"225 Market St, Philo, Ohio, 43771",(740) 674-5210,(740) 674-5217,,,,,,,David Harper,shawn.harper@franklinlocalschools.org,(740) 588-3591,"=""048843""",Franklin Local ,39.8625117,-81.9102254
518,"=""008854""",Dundee Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Tuscarawas,,,"8072 School St, Dundee, Ohio, 44624",(330) 852-2022,(330) 852-9952,,,,,,,Curtis Fisher,cfisher@garaway.org,(330) 852-2441,"=""050278""",Garaway Local,40.5852994,-81.60838059999999
519,"=""008888""",Dunloe Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Franklin,,,"3200 Dunloe Rd, Columbus, Ohio, 43232",(614) 833-2008,(614) 833-2007,,,,,,,Natalie Lewellen,natalie.lewellen@gocruisers.org,,"=""046979""",Groveport Madison Local,39.9112309,-82.857817
520,"=""008896""",Durling Middle School,Middle School,"=""5-8""",Public School,School,Open,Lorain,,,"100 N Ridge Rd W, Lorain, Ohio, 44053",(440) 233-6869,(440) 233-6204,,,,,,,Laura Manning,sunnygirl0925@gmail.com,(440) 336-2307,"=""048132""",Clearview Local,41.4273333,-82.1666892
521,"=""008912""",Duxberry Park Alternative Elementary School,Elementary School,"K-5,P",Public School,School,Open,Franklin,,,"1779 E Maynard Ave, Columbus, Ohio, 43219",(614) 365-6023,,,,,,,,Vera Babbs,vbabbs9494@columbus.k12.oh.us,(614) 736-0994,"=""043802""",Columbus City School District,40.0089486,-82.96120359999999
522,"=""008920""",E A Powell Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Wood,,slockwood@nbls.org,"500 N Main St, North Baltimore, Ohio, 45872",(419) 257-2124,(419) 257-3044,,,,,,,Ryan Delaney,rdelaney@nbls.org,(419) 651-6633,"=""050708""",North Baltimore Local,41.1873937,-83.67803719999999
523,"=""008946""",East Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Wyandot,,laurie_v@usevs.org,"401 N 3rd St, Upper Sandusky, Ohio, 43351",(419) 294-2396,,,,,,,,Angela Murphy,murphy_a@usevs.org,(740) 360-7695,"=""045625""",Upper Sandusky Exempted Village,40.8320131,-83.2762906
524,"=""008953""",East Canton Elementary School,Elementary School,"K-5,P",Public School,School,Open,Stark,,rebecca.carter@osnaburglocal.org,"310 Browning Ct N, East Canton, Ohio, 44730",(330) 488-0392,(330) 488-4014,,,,,,,Rebecca Carter,rebecca.carter@osnaburglocal.org,(330) 488-0392,"=""049916""",Osnaburg Local,40.7893435,-81.27917579999999
525,"=""008961""",East Canton High School,High School,"=""9-12""",Public School,School,Open,Stark,http://www.ecweb.sparcc.org,gary.hinton@osnaburglocal.org,"310 Browning Ct N, East Canton, Ohio, 44730",(330) 488-0316,(330) 488-4015,,,,,,,Gary Hinton,gary.hinton@osnaburglocal.org,(330) 703-0322,"=""049916""",Osnaburg Local,40.7893435,-81.27917579999999
526,"=""008979""",Midview West Elementary School,Elementary School,"P,K,3-4",Public School,School,Open,Lorain,,,"13080 Durkee Rd, Grafton, Ohio, 44044",(440) 748-2305,(440) 748-4032,,,,,,,Beth Hall,bethrhall@gmail.com,(216) 905-6625,"=""048173""",Midview Local,41.2987569,-82.0562398
527,"=""008987""",East Clark,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,,,"885 E 146th St, Cleveland, Ohio, 44110",(216) 838-0650,,,,,,,,Charlene Hilliard,Charlene.hilliard@clevelandmetroschools.org,(216) 838-0650,"=""043786""",Cleveland Municipal,41.555614,-81.57994990000002
528,"=""008995""",East Clinton High School,High School,"=""9-12""",Public School,School,Open,Clinton,,,"174 Larrick Rd, Sabina, Ohio, 45169",(937) 584-2474,(937) 584-7451,,,,,,,Michael Adams,michael.adams@eastclinton.org,(937) 725-9384,"=""046409""",East Clinton Local,39.418323,-83.648484
529,"=""009001""",East Columbus Elementary School,Elementary School,"K-5,P",Public School,School,Open,Franklin,,,"3100 E. 7th Ave, Columbus, Ohio, 43219",(614) 365-6147,,,,,,,,Jaime Spreen,jtaylor4627@columbus.k12.oh.us,(614) 365-5935,"=""043802""",Columbus City School District,39.98649169999999,-82.9211867
530,"=""009027""",East End Elementary School,Elementary School,"P,5",Public School,School,Open,Clinton,,,"769 Rombach Ave, Wilmington, Ohio, 45177",(937) 382-2443,(937) 382-2872,,,,,,,Jennifer Martin,jmartin@wilmington.k12.oh.us,(937) 728-3484,"=""045112""",Wilmington City,39.4471354,-83.8153239
