Sponsor IRN,Sponsor,School IRN,School,Telephone,Address,Public District Location IRN,Public District Location,County,First Year of Operation,Grade Levels Served,ConvOrStartup,PhysOrVirtual,School Type 3,Percent Minority,Percent Economically Disadvantaged,Percent Students with Disabilities,Percent Limited English Proficient,Attendance Rate,Overall Grade 2018,Overall Value-Added Grade 2018,Gifted Value-Added Grade 2018,Students with Disabilities Value-Added Grade 2018,Lowest 20% Value-Added Grade 2018,Highly Mobile Value-Added Grade 2018,Graduation Component Grade 2018,Five Year Graduation Rate Grade 2018,Gap Closing Component Grade 2018,Success Component Grade 2018,K3 Literacy Grade 2018,Overall Value-Added Grade 2017,Gifted Value-Added Grade 2017,Students with Disabilities Value-Added Grade 2017,Lowest 20% Value-Added Grade 2017,Highly Mobile Value-Added Grade 2017,Graduation Component Grade 2017,Five Year Graduation Rate Grade 2017,Gap Closing Component Grade 2017,Success Component Grade 2017,K3 Literacy Grade 2017,Overall Value-Added Grade 2016,Gifted Value-Added Grade 2016,Students with Disabilities Value-Added Grade 2016,Lowest 20% Value-Added Grade 2016,Highly Mobile Value-Added Grade 2016,Graduation Component Grade 2016,Five Year Graduation Rate Grade 2016,Gap Closing Component Grade 2016,Success Component Grade 2016,K3 Literacy Grade 2016,Overall Value-Added Grade 2015,Gifted Value-Added Grade 2015,Students with Disabilities Value-Added Grade 2015,Lowest 20% Value-Added Grade 2015,Highly Mobile Value-Added Grade 2015,Five Year Graduation Rate Grade 2015,K3 Literacy Grade 2015,Overall Value-Added Grade 2014,Gifted Value-Added Grade 2014,Students with Disabilities Value-Added Grade 2014,Lowest 20% Value-Added Grade 2014,Five Year Graduation Rate Grade 2014,Overall Value-Added Grade 2013,Gifted Value-Added Grade 2013,Students with Disabilities Value-Added Grade 2013,Lowest 20% Value-Added Grade 2013,Five Year Graduation Rate Grade 2013,Latitude,Longitude,isClosed
048199,ESC of Lake Erie West,000338,Horizon Science Academy Toledo,(419) 4743350,"2600 W Sylvania Ave, Toledo, OH 43613",44909,Toledo City,Lucas,FY05,K-12,Startup,Site,General Education,0.800138168,0.998031259,0.195259708,0.070951247,0.935410938,D,F,NR,C,C,NR,D,C,F,F,D,F,NR,C,F,F,F,F,F,F,F,F,NR,B,D,F,F,F,F,F,F,F,NR,F,F,F,F,D,F,NR,C,D,F,D,NR,F,D,B,41.6927905,-83.6066648,No
000862,Buckeye Community Hope Foundation,011976,Horizon Science Academy Dayton Downtown,(937) 2811980,"121 S Monmouth St, Dayton, OH 45403",43844,Dayton City,Montgomery,FY11,K-12,Startup,Site,General Education,0.40101244,0.997129661,0.140516138,0.225086758,0.931381499,C,B,NR,NR,C,NR,NR,NR,B,NR,C,B,NR,NR,C,NR,NR,NR,F,NR,C,A,NR,NR,A,NR,NR,NR,F,NR,F,C,NR,NR,C,NR,NR,F,C,NR,D,F,NR,A,NR,NR,B,NR,39.7629094,-84.1542919,No
046805,Margaretta Local,012867,Townsend North Community School,(419) 6845402,"207 Lowell St, Castalia, OH 44824",46805,Margaretta Local,Erie,FY12,9-12,Conversion,Site,Dropout Prevention and Recovery,0.233220639,0.805263763,0.236589657,--,0.840942021,Meets Standards,34.4,Exceeds Standards,41.5,Exceeds Standards,50,Exceeds Standards,Exceeds Standards,49.7,42.6,Meets Standards,Meets Standards,33.7,Exceeds Standards,46,Exceeds Standards,43.8,49,Exceeds Standards,Exceeds Standards,42.9,51.5,Meets Standards,33.7,Meets Standards,38.2,Exceeds Standards,Exceeds Standards,54.7,22.5,Meets Standards,5.9,Meets Standards,Does Not Meet Standards,Meets Standards,63.5,26.9,40.1,Meets Standards,22,Not Rated,--,34.4,45.7,Meets Standards,29.6,Exceeds Standards,Meets Standards,41.399314,-82.802072,No
016998,Ohio Council of Community Schools,013146,STEAM Academy of Dayton,,,43844,Dayton City,Montgomery,FY14,"#N/A",Startup,Site,General Education,0.984219712,1,0.204587408,--,0.853552948,D,F,NR,C,F,NR,NR,NR,C,NR,F,F,NR,B,F,NR,NR,NR,F,NR,F,F,NR,B,D,F,NR,NR,F,NR,F,C,NR,NR,B,C,NR,F,C,NR,NR,C,NR,--,--,--,--,--,0,0,Yes
043786,Cleveland Municipal,015261,Citizens Academy Southeast,(216) 5863887,"15700 Lotus Dr, Cleveland, OH 44128",43786,Cleveland Municipal,Cuyahoga,FY16,K-8,Startup,Site,General Education,0.997091199,1,0.077436988,--,0.931561137,C,C,NR,NR,C,NR,NR,NR,B,NR,C,NR,NR,NR,NR,NR,NR,NR,F,NR,C,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.4456554,-81.5706538,No
016998,Ohio Council of Community Schools,000222,Wildwood Environmental Academy,(419) 8689885,"1546 Dartford Rd, Maumee, OH 43537",48223,Springfield Local,Lucas,FY05,K-12,Startup,Site,General Education,0.316054204,0.634403267,0.286173838,--,0.933620682,D,B,NR,F,C,NR,B,B,F,F,C,A,NR,F,C,NR,B,NR,F,F,C,A,NR,C,A,NR,NR,NR,F,F,D,F,NR,C,F,NR,F,C,F,NR,D,D,D,C,NR,D,C,NR,41.6117359,-83.687112,No
050526,Tri-County ESC,009971,Ashland County Community Academy,(419) 9030295,"716 Union St, Ashland, OH 44805",43505,Ashland City,Ashland,FY09,7-12,Conversion,Site,Dropout Prevention and Recovery,--,0.665401413,0.197663528,--,0.784145334,Meets Standards,45.5,Exceeds Standards,45.5,Exceeds Standards,46.9,Exceeds Standards,Exceeds Standards,73,56.6,Meets Standards,Meets Standards,35.1,Exceeds Standards,43.8,Exceeds Standards,61.7,73,Exceeds Standards,Exceeds Standards,55.9,50,Exceeds Standards,40.4,Exceeds Standards,60,Exceeds Standards,Exceeds Standards,59.7,68.8,Exceeds Standards,30.5,Meets Standards,Meets Standards,Meets Standards,60,52.6,68.5,Exceeds Standards,65.6,Exceeds Standards,63.5,61.2,--,--,--,--,--,40.8733094,-82.3132875,No
016998,Ohio Council of Community Schools,013147,STEAM Academy of Warrensville Heights,(216) 5952866,"4700 Richmond Rd Ste 3000, Warrensville Heights, OH 44128",43786,Cleveland Municipal,Cuyahoga,FY14,K-12,Startup,Site,General Education,0.98604505,0.997411867,0.097859547,--,0.918185471,F,F,NR,NR,F,F,NR,NR,F,NR,D,C,NR,NR,C,NR,NR,NR,F,NR,NR,C,NR,NR,B,D,NR,NR,F,NR,F,C,NR,NR,C,C,NR,B,C,NR,NR,NR,NR,--,--,--,--,--,41.4320052,-81.4988596,No
016998,Ohio Council of Community Schools,013148,Stepstone Academy,(440) 2606480,"3328 Carnegie Ave, Cleveland, OH 44115",43786,Cleveland Municipal,Cuyahoga,FY13,K-3,Startup,Site,General Education,0.98668916,1,0.141031835,--,0.898237453,D,F,NR,F,F,NR,NR,NR,F,NR,C,F,NR,F,F,NR,NR,NR,F,NR,D,F,NR,NR,F,F,NR,NR,F,NR,F,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,41.4997304,-81.6636481,No
083246,St Aloysius Orphanage,132803,Marshall High School,(513) 3187078,"4720 Roosevelt Blvd, Middletown, OH 45044",44404,Middletown City,Butler,FY02,9-12,Startup,Site,Dropout Prevention and Recovery,0.286855684,0.820428139,0.391084053,--,0.402701849,Exceeds Standards,12.4,Meets Standards,13.5,Meets Standards,28.8,Meets Standards,Meets Standards,29.8,23.3,Exceeds Standards,Does Not Meet Standards,6.2,Meets Standards,26.1,Meets Standards,27.7,29.8,Meets Standards,Meets Standards,23.7,58.8,Meets Standards,17.9,Meets Standards,23.1,Meets Standards,Meets Standards,26.8,25.5,Meets Standards,0.1,Meets Standards,Does Not Meet Standards,Meets Standards,64.3,16.7,25.6,Meets Standards,22.9,Meets Standards,18.5,21.7,33.3,Meets Standards,16.5,Meets Standards,Meets Standards,39.4991005,-84.3463586,No
083246,St Aloysius Orphanage,133488,River Gate High School,(330) 6476500,"458 Franklin St SE, Warren, OH 44483",44990,Warren City,Trumbull,FY01,9-12,Startup,Site,Dropout Prevention and Recovery,0.373935867,1,0.153165723,--,0.382847832,Does Not Meet Standards,2.3,Does Not Meet Standards,3.4,Does Not Meet Standards,8.1,Does Not Meet Standards,Meets Standards,14,8.1,Does Not Meet Standards,Does Not Meet Standards,2.4,Does Not Meet Standards,5.6,Does Not Meet Standards,8.1,12.7,Meets Standards,Does Not Meet Standards,10.5,NR,Does Not Meet Standards,5.9,Does Not Meet Standards,8.1,Meets Standards,Meets Standards,17.3,17.1,Meets Standards,0.9,Meets Standards,Does Not Meet Standards,Meets Standards,35.3,3.5,9.6,Meets Standards,13.8,Meets Standards,13.3,12,27.3,Meets Standards,9.5,Meets Standards,Meets Standards,41.2346989,-80.8127338,No
000862,Buckeye Community Hope Foundation,143172,International Acad Of Columbus,(614) 7940643,"2439 Fuji Dr, Columbus, OH 43229",43802,Columbus City School District,Franklin,FY03,K-10,Startup,Site,General Education,0.788351877,1,0.089923038,0.378713563,0.948959228,D,F,NR,NR,C,NR,NR,NR,B,NR,D,F,NR,NR,C,NR,NR,NR,F,NR,D,F,NR,NR,F,NR,NR,NR,F,NR,NR,B,NR,NR,C,B,NR,C,A,NR,NR,A,NR,A,NR,NR,A,NR,40.0878843,-82.9527604,No
043836,Cuyahoga Falls City,147231,Schnee Learning Center,(330) 9221966,"2222 Issaquah St, Cuyahoga Falls, OH 44221",43836,Cuyahoga Falls City,Summit,FY06,9-12,Conversion,Site,Dropout Prevention and Recovery,0.099131629,0.667603722,0.209527403,--,0.633132686,Does Not Meet Standards,42.1,Exceeds Standards,72.4,Exceeds Standards,60.9,Exceeds Standards,Exceeds Standards,74.6,64.5,Does Not Meet Standards,Exceeds Standards,66.7,Exceeds Standards,59.4,Exceeds Standards,68.5,74.6,Exceeds Standards,Exceeds Standards,69.5,90.9,Exceeds Standards,45.7,Exceeds Standards,64.8,Exceeds Standards,Exceeds Standards,76.8,78.9,Exceeds Standards,66.7,Meets Standards,Does Not Meet Standards,Exceeds Standards,84.4,52.7,71.8,Exceeds Standards,77.9,Exceeds Standards,66.7,70.6,74.3,Exceeds Standards,71.2,Exceeds Standards,Exceeds Standards,41.1372538,-81.4542055,No
083246,St Aloysius Orphanage,151191,The Capella Institute,,,44305,Maple Heights City,Cuyahoga,FY04,"#N/A",Startup,Site,Dropout Prevention and Recovery,1,0.921634442,--,--,0.447201326,Does Not Meet Standards,13.8,Meets Standards,17.1,Does Not Meet Standards,2.2,Does Not Meet Standards,Meets Standards,15.6,10.1,Meets Standards,Meets Standards,9.7,Does Not Meet Standards,0,Does Not Meet Standards,4,14.3,Meets Standards,Does Not Meet Standards,9.2,41.7,Does Not Meet Standards,0,Does Not Meet Standards,1.3,Meets Standards,Meets Standards,13.8,20.5,Does Not Meet Standards,0,Does Not Meet Standards,Does Not Meet Standards,Not Rated,NR,1.3,11.7,Meets Standards,17.9,Does Not Meet Standards,9.6,11,NR,Meets Standards,7.7,Does Not Meet Standards,Meets Standards,0,0,Yes
048199,ESC of Lake Erie West,000838,Horizon Science Academy-Denison Middle School,(216) 7399911,"1700 Denison Ave, Cleveland, OH 44109",43786,Cleveland Municipal,Cuyahoga,FY05,K-8,Startup,Site,General Education,0.911337579,1,0.102038217,0.145838639,0.915651911,C,A,NR,B,A,NR,NR,NR,D,NR,D,A,NR,A,A,A,NR,NR,F,NR,D,A,NR,C,A,NR,NR,NR,F,NR,F,F,NR,C,F,NR,NR,D,F,NR,NR,D,NR,C,NR,NR,C,NR,41.4517134,-81.6930403,No
007991,Educational Resource Consultants of Ohio,000677,New Day Academy Boarding & Day School,(440) 5160866,"17325 Euclid Ave Ste 2187, Cleveland, OH 44112",43950,Euclid City,Cuyahoga,FY06,K-12,Startup,Site,General Education,0.970652096,0.94806796,0.140931085,--,0.861059095,F,F,NR,NR,F,F,F,F,F,F,NR,D,NR,NR,C,NR,F,F,F,F,NR,C,NR,NR,C,NR,F,D,F,F,NR,NR,NR,NR,NR,NR,F,F,C,NR,NR,A,F,C,NR,NR,A,F,41.5532297,-81.56119,No
048199,ESC of Lake Erie West,000560,Apex Academy,(216) 4511725,"16005 Terrace Rd, Cleveland, OH 44112",43901,East Cleveland City School District,Cuyahoga,FY05,K-8,Startup,Site,General Education,1,1,0.117551695,--,0.928613061,D,F,NR,F,F,NR,NR,NR,B,NR,D,F,NR,F,F,NR,NR,NR,F,NR,C,F,NR,F,F,NR,NR,NR,F,NR,F,A,NR,A,A,NR,NR,F,B,NR,C,A,NR,A,NR,C,C,NR,41.5416253,-81.5662838,No
000821,Thomas B. Fordham Foundation,013034,Village Preparatory School:: Woodland Hills Campus,(216) 2981164,"9201 Crane Ave, Cleveland, OH 44105",43786,Cleveland Municipal,Cuyahoga,FY13,K-8,Startup,Site,General Education,0.996542323,1,0.134224346,--,0.916445993,D,B,NR,C,C,NR,NR,NR,D,NR,D,C,NR,C,C,NR,NR,NR,F,NR,C,C,NR,A,C,NR,NR,NR,F,NR,F,F,NR,NR,F,NR,NR,D,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,41.4631435,-81.6222603,No
046938,ESC of Central Ohio,000679,Oakstone Community School,(614) 4581085,"5747 Cleveland Ave, Columbus, OH 43231",43802,Columbus City School District,Franklin,FY05,"K,1-12,UNG,SN",Startup,Site,Special Education,0.281291507,--,1,--,0.939797697,D,F,NR,F,C,NR,F,F,C,F,D,F,NR,F,C,NR,F,F,F,F,C,F,NR,F,NR,NR,F,F,F,D,NR,A,NR,A,NR,NR,F,NR,F,NR,F,D,F,F,NR,D,D,F,40.0872973,-82.9516261,No
083246,St Aloysius Orphanage,133538,"Edge Academy, The",(330) 5354581,"92 N Union St, Akron, OH 44304",43489,Akron City,Summit,FY00,K-5,Startup,Site,General Education,0.957609365,0.956352428,0.198447319,--,0.918847816,D,F,NR,F,F,NR,NR,NR,F,NR,D,F,NR,F,F,NR,NR,NR,F,NR,NR,F,NR,C,F,NR,NR,NR,F,NR,NR,F,NR,C,C,F,NR,NR,F,NR,C,C,NR,D,NR,B,C,NR,41.0837429,-81.5067925,No
123257,North Central Ohio ESC,142943,Focus Learning Academy of Northern Columbus,(614) 5470920,"1880 E Dublin Granville Rd, Columbus, OH 43229",43802,Columbus City School District,Franklin,FY03,K-8,Conversion,Site,General Education,1,1,--,0.744167086,0.949739696,B,A,NR,NR,A,A,NR,NR,A,NR,D,A,NR,NR,A,NR,NR,NR,F,NR,NR,A,NR,NR,A,NR,NR,NR,F,NR,NR,F,NR,NR,F,NR,F,NR,A,NR,NR,A,F,A,NR,NR,A,F,40.0874007,-82.9683859,No
007991,Educational Resource Consultants of Ohio,000725,Zenith Academy,(614) 8889997,"4606 Heaton Rd, Columbus, OH 43229",43802,Columbus City School District,Franklin,FY05,K-12,Startup,Site,General Education,0.993902187,1,0.049588656,0.647174333,0.94868164,D,D,NR,NR,A,NR,F,F,C,F,C,F,NR,NR,B,NR,F,F,F,F,F,F,NR,NR,F,F,F,NR,F,F,F,A,NR,NR,C,A,NR,F,A,NR,NR,B,NR,B,NR,NR,C,NR,40.062163,-82.9667465,No
046938,ESC of Central Ohio,133421,"Graham School, The",(614) 2621111,"3950 Indianola Ave, Columbus, OH 43214",43802,Columbus City School District,Franklin,FY01,9-12,Startup,Site,General Education,0.4868566,0.515045993,0.365193423,--,0.886271962,D,F,NR,F,C,NR,F,D,C,F,NR,F,NR,F,D,NR,F,F,F,F,NR,F,NR,D,C,NR,F,F,F,F,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,NR,D,NR,NR,NR,NR,D,40.044994,-82.999248,No
043786,Cleveland Municipal,012030,Near West Intergenerational School,(216) 9614308,"3805 Terrett Ave, Cleveland, OH 44113",43786,Cleveland Municipal,Cuyahoga,FY12,K-8,Startup,Site,General Education,0.703321598,1,0.184714228,0.072056942,0.936533089,B,B,NR,C,C,NR,NR,NR,A,NR,B,C,NR,NR,NR,NR,NR,NR,F,NR,D,C,NR,NR,NR,NR,NR,NR,F,NR,NR,C,NR,NR,NR,NR,NR,NR,B,NR,NR,NR,NR,C,NR,NR,NR,NR,41.4851402,-81.7139214,No
048199,ESC of Lake Erie West,000610,Summit Academy Middle School - Columbus,(614) 2375497,"2521 Fairwood Ave Ste 200, Columbus, OH 43207",43802,Columbus City School District,Franklin,FY05,6-8,Startup,Site,Special Education,0.603477145,0.990438641,0.831696197,--,0.912062776,D,C,NR,B,B,B,NR,NR,D,NR,NR,D,NR,B,B,NR,NR,NR,F,NR,NR,B,NR,A,A,A,NR,NR,F,NR,NR,F,NR,F,F,F,NR,NR,B,NR,C,B,NR,B,NR,C,C,NR,39.91443,-82.958219,No
043786,Cleveland Municipal,012031,Entrepreneurship Preparatory School - Woodland Hills Campus,(216) 2981164,"9201 Crane Ave, Cleveland, OH 44105",43786,Cleveland Municipal,Cuyahoga,FY13,5-8,Startup,Site,General Education,0.99169587,1,0.183452683,--,0.906284018,D,B,NR,D,A,NR,NR,NR,F,NR,NR,A,NR,B,A,NR,NR,NR,F,NR,NR,A,NR,C,A,NR,NR,NR,F,NR,NR,A,NR,A,A,NR,NR,NR,A,NR,A,A,NR,A,NR,A,A,NR,41.4631435,-81.6222603,No
012931,Office of School Sponsorship,012644,STEAM Academy of Warren,(330) 3943200,"261 Elm Rd NE, Warren, OH 44483",44990,Warren City,Trumbull,FY12,K-8,Startup,Site,General Education,0.618857672,1,0.149554866,--,0.903262783,D,F,NR,NR,F,B,NR,NR,B,NR,C,F,NR,NR,F,C,NR,NR,F,NR,B,F,NR,NR,F,F,NR,NR,F,NR,F,A,NR,NR,A,A,NR,F,A,NR,NR,A,NR,B,NR,NR,A,NR,41.2385643,-80.8119118,No
000862,Buckeye Community Hope Foundation,132985,Youthbuild Columbus Community,(614) 2910805,"1183 Essex Ave, Columbus, OH 43201",43802,Columbus City School District,Franklin,FY02,"9-12,UNG",Startup,Site,Dropout Prevention and Recovery,0.928601551,1,0.28572558,--,0.427150052,Meets Standards,18.8,Does Not Meet Standards,7.1,Meets Standards,30.4,Meets Standards,Meets Standards,24.1,20.2,Exceeds Standards,Meets Standards,8.3,Meets Standards,18.2,Meets Standards,19.6,22.4,Meets Standards,Meets Standards,17.8,17.1,Does Not Meet Standards,6.5,Meets Standards,14.3,Meets Standards,Meets Standards,15.6,18.7,Meets Standards,0,Meets Standards,Meets Standards,Does Not Meet Standards,6.1,10.4,17.2,Meets Standards,16.3,Meets Standards,23.1,16.8,7.5,Meets Standards,16.7,Meets Standards,Meets Standards,39.9885761,-82.9884164,No
048850,Maysville Local,012033,Foxfire Intermediate School,(740) 4534509,"2805 Pinkerton Ln, Zanesville, OH 43701",48850,Maysville Local,Muskingum,FY11,K-8,Conversion,Site,Special Education,0.34790432,0.964202188,0.56916706,--,0.907760192,B,NR,NR,NR,NR,NR,NR,NR,NR,NR,B,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,A,NR,A,A,A,NR,NR,F,NR,NR,F,NR,D,F,F,NR,NR,D,NR,F,F,NR,A,NR,F,F,NR,39.8957947,-82.0476945,No
008303,"Kids Count of Dayton, Inc.",133264,Dohn Community,(513) 2816100,"608 E McMillan St, Cincinnati, OH 45206",43752,Cincinnati City,Hamilton,FY02,9-12,Startup,Site,Dropout Prevention and Recovery,0.978570865,0.826038696,0.274367939,--,0.489077644,Meets Standards,31.8,Meets Standards,34.8,Exceeds Standards,40.2,Exceeds Standards,Exceeds Standards,51.1,40.1,Meets Standards,Meets Standards,25.7,Meets Standards,36.4,Exceeds Standards,48.1,50.4,Exceeds Standards,Exceeds Standards,40.4,34.5,Meets Standards,32,Exceeds Standards,46.9,Exceeds Standards,Exceeds Standards,52.7,47.9,Exceeds Standards,13.1,Meets Standards,Meets Standards,Meets Standards,38,38.2,45.3,Exceeds Standards,46.5,Meets Standards,29.4,42.9,32.9,Exceeds Standards,44.7,Exceeds Standards,Exceeds Standards,39.1266763,-84.4979244,No
012931,Office of School Sponsorship,143560,Richard Allen Academy II,,,43844,Dayton City,Montgomery,FY03,"#N/A",Startup,Site,General Education,1,1,0.080582322,--,0.936158217,F,F,NR,NR,F,NR,NR,NR,F,NR,D,F,NR,F,F,NR,NR,NR,F,NR,D,F,NR,D,F,NR,NR,NR,F,NR,F,A,NR,NR,A,NR,NR,C,F,NR,NR,F,NR,F,NR,NR,F,NR,0,0,Yes
048199,ESC of Lake Erie West,000613,Heir Force Community School,(419) 2289241,"150 W Grand Ave, Lima, OH 45801",44222,Lima City,Allen,FY05,K-8,Startup,Site,General Education,0.817251438,0.961852858,0.151267169,--,0.933767581,C,D,NR,NR,D,NR,NR,NR,A,NR,D,F,NR,NR,F,NR,NR,NR,F,NR,D,D,NR,NR,D,NR,NR,NR,F,NR,F,A,NR,NR,C,NR,NR,D,A,NR,A,A,NR,A,NR,NR,A,NR,40.7512421,-84.1061537,No
012931,Office of School Sponsorship,000614,Summit Academy Transition High School-Columbus,(614) 8800714,"2521 Fairwood Ave, Columbus, OH 43207",43802,Columbus City School District,Franklin,FY08,9-12,Startup,Site,Special Education,0.704759959,0.988391811,0.800673898,--,0.889122096,F,D,NR,C,C,D,F,F,F,F,NR,C,NR,C,B,F,F,F,F,F,NR,B,NR,A,A,B,F,F,F,F,NR,NR,NR,NR,NR,NR,F,NR,NR,NR,NR,NR,D,NR,NR,NR,NR,NR,39.91443,-82.958219,No
007991,Educational Resource Consultants of Ohio,012036,Regent High School,(216) 5120076,"5806 Broadway Ave, Cleveland, OH 44127",43786,Cleveland Municipal,Cuyahoga,FY11,9-12,Startup,Site,Dropout Prevention and Recovery,0.97620554,1,0.196231891,--,0.434623937,Meets Standards,7,Does Not Meet Standards,3.2,Meets Standards,12.1,Meets Standards,Meets Standards,22.4,12.2,Meets Standards,Does Not Meet Standards,4.3,Does Not Meet Standards,10.6,Meets Standards,20.3,22.4,Meets Standards,Meets Standards,14.9,NR,Meets Standards,8.6,Meets Standards,17.2,Meets Standards,Meets Standards,15.7,8.8,Meets Standards,0,Does Not Meet Standards,Does Not Meet Standards,Does Not Meet Standards,20,16.4,16.3,Does Not Meet Standards,8.8,Not Rated,--,14.4,46.7,Meets Standards,10,Does Not Meet Standards,Does Not Meet Standards,41.4654219,-81.6500597,No
200043,Cincinnati City CTPD,017275,AchievePoint Career Academy - Cincinnati,(513) 3343607,"5098 Glencrossing Way, Cincinnati, OH 45238",43752,Cincinnati Public Schools,Hamilton,,9-12,Startup,Site,Dropout Prevention and Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1303484,-84.6131203,No
048199,ESC of Lake Erie West,000616,Summit Academy Alternative LearnersWarren Middle & Secondary,(330) 3991692,"1461 Moncrest Dr NW, Warren, OH 44485",44990,Warren City,Trumbull,FY05,8-12,Startup,Site,Special Education,0.22285928,1,0.937737605,--,0.856865482,F,F,NR,F,D,NR,F,F,F,F,NR,F,NR,F,D,NR,F,F,F,F,NR,F,NR,F,F,NR,F,NR,F,F,NR,F,NR,F,F,NR,C,NR,B,NR,C,C,NR,C,NR,C,C,NR,41.248531,-80.8412929,No
007991,Educational Resource Consultants of Ohio,012037,Mason Run High School,(614) 3627540,"923 S James Rd, Columbus, OH 43227",43802,Columbus City School District,Franklin,FY11,8-12,Startup,Site,Dropout Prevention and Recovery,0.925551762,1,0.22137204,--,0.368433157,Meets Standards,4.1,Does Not Meet Standards,6.7,Meets Standards,12.1,Meets Standards,Meets Standards,26.8,14.9,Does Not Meet Standards,Does Not Meet Standards,0,Meets Standards,12.1,Meets Standards,33.3,26.8,Meets Standards,Meets Standards,18,NR,Meets Standards,26.7,Meets Standards,33.3,Meets Standards,Meets Standards,12.1,0,Meets Standards,NR,Does Not Meet Standards,Does Not Meet Standards,Not Rated,NR,50,24.4,Does Not Meet Standards,0,Not Rated,--,18.9,--,--,--,--,--,39.9521483,-82.9160529,No
012931,Office of School Sponsorship,014927,Steel Academy,(330) 6331383,"1570 Creighton Ave, Akron, OH 44310",43489,Akron City,Summit,FY15,6-12,Startup,Site,Special Education,0.33743791,0.786243953,0.683175703,--,0.847359241,F,F,NR,F,D,C,F,F,F,F,NR,F,NR,F,D,NR,F,NR,F,F,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,F,NR,C,B,NR,NR,NR,--,--,--,--,--,--,--,--,--,--,41.1069315,-81.4770292,No
007991,Educational Resource Consultants of Ohio,012038,Old Brook High School,(440) 3193370,"4877 Pearl Rd, Cleveland, OH 44109",43786,Cleveland Municipal,Cuyahoga,FY11,9-12,Startup,Site,Dropout Prevention and Recovery,0.451980579,1,0.159961596,--,0.506975172,Meets Standards,8.5,Meets Standards,13,Does Not Meet Standards,9.1,Meets Standards,Does Not Meet Standards,9,11.3,Meets Standards,Does Not Meet Standards,5.1,Does Not Meet Standards,7.6,Meets Standards,20.4,9,Meets Standards,Does Not Meet Standards,11.7,NR,Meets Standards,8,Meets Standards,16.3,Does Not Meet Standards,Meets Standards,17,20.7,Meets Standards,0,Does Not Meet Standards,Does Not Meet Standards,Does Not Meet Standards,11.1,16.7,9,Meets Standards,20.7,Not Rated,--,15,15.8,Does Not Meet Standards,6.6,Meets Standards,Meets Standards,41.4249407,-81.7205562,No
016998,Ohio Council of Community Schools,000951,Toledo Preparatory and Fitness Academy,(419) 5353700,"3001 Hill Ave, Toledo, OH 43607",44909,Toledo City,Lucas,FY06,K-8,Startup,Site,General Education,0.843130563,1,0.299707236,--,0.935346596,B,A,NR,A,C,NR,NR,NR,A,NR,B,D,NR,D,F,NR,NR,NR,F,NR,C,C,NR,C,F,NR,NR,NR,F,NR,F,F,NR,F,NR,NR,NR,NR,A,NR,NR,NR,NR,A,NR,NR,NR,NR,41.6371796,-83.6136404,No
083246,St Aloysius Orphanage,143115,Mound Street IT Careers Academy,,,43844,Dayton City,Montgomery,FY03,"#N/A",Startup,Site,Dropout Prevention and Recovery,0.860956078,0.922063899,0.234027487,--,0.651358816,Meets Standards,12.5,Does Not Meet Standards,6.5,Meets Standards,12.3,Meets Standards,Meets Standards,26.5,15.4,Does Not Meet Standards,Does Not Meet Standards,3.4,Does Not Meet Standards,10.5,Meets Standards,13.5,26.5,Meets Standards,Meets Standards,17.4,NR,Does Not Meet Standards,6.1,Meets Standards,13.9,Meets Standards,Meets Standards,25.4,29,Meets Standards,0,Does Not Meet Standards,Does Not Meet Standards,Not Rated,NR,9.4,27.1,Meets Standards,26.1,Meets Standards,28.8,23.9,NR,Meets Standards,20,Meets Standards,Meets Standards,0,0,Yes
016998,Ohio Council of Community Schools,143610,Arts & College Preparatory Academy,(614) 9869974,"4401 Hilton Corporate Dr, Columbus, OH 43232",43802,Columbus City School District,Franklin,FY03,9-12,Startup,Site,General Education,0.524376248,0.504975867,0.071438678,--,0.907707744,B,A,NR,C,C,NR,A,A,A,F,NR,B,NR,C,B,NR,A,A,D,D,NR,A,NR,D,NR,NR,A,A,F,D,NR,NR,NR,NR,NR,NR,B,NR,NR,NR,NR,NR,A,NR,NR,NR,NR,B,39.9340289,-82.8743675,No
016998,Ohio Council of Community Schools,000952,Columbus Preparatory and Fitness Academy,(614) 3180606,"1258 Demorest Rd, Columbus, OH 43204",43802,Columbus City School District,Franklin,FY06,K-8,Startup,Site,General Education,0.886848056,1,0.182026029,0.488102956,0.936883091,C,B,NR,C,A,NR,NR,NR,B,NR,D,C,NR,F,C,NR,NR,NR,F,NR,F,F,NR,D,F,NR,NR,NR,F,NR,F,A,NR,A,A,NR,NR,F,B,NR,NR,D,NR,A,NR,NR,C,NR,39.9291937,-83.0892325,No
