School,SchoolOrHome,Type,Latitude,Longitude
5801 Asherbrand Dr,Home,Vacant Land,41.1161752,-81.8505034
911 Oak St,Home,Single Family Residential,41.1265877,-81.8756805
4802 Beach Rd,Home,Single Family Residential,41.1445677,-81.7568894
2333 Ridgewood Rd,Home,Vacant Land,41.119027,-81.771469
1240 Pennyroyal Cir,Home,Single Family Residential,41.1170091,-81.8325473
926 Remsen Rd,Home,Single Family Residential,41.187306,-81.719083
239 S Vine St,Home,Single Family Residential,41.1373743,-81.8696644
4794 Foote Rd,Home,Single Family Residential,41.1439644,-81.8331735
398 W Sturbridge Dr,Home,Single Family Residential,41.1198907,-81.8738032
4630 Boneta Rd,Home,Single Family Residential,41.1492165,-81.7754338
5450 Lance Rd,Home,Single Family Residential,41.124605,-81.951102
4150 Williamsburg Ct,Home,Single Family Residential,41.1621337,-81.8360764
3827 Retreat Dr,Home,Single Family Residential,41.1384,-81.825009
4099 Beach Rd,Home,Single Family Residential,41.1637933,-81.7554792
5851 Glen Eagles Dr,Home,Single Family Residential,41.1150016,-81.8191698
6358 Burrow Ct,Home,Single Family Residential,41.1013605,-81.8511012
5986 Triple Crown Dr,Home,Single Family Residential,41.11075,-81.8462782
70 Deer Lake Dr,Home,Vacant Land,41.167977,-81.8369984
51 Deer Lake Dr,Home,Vacant Land,41.167977,-81.8369984
907 Cornell Ct,Home,Single Family Residential,41.148059,-81.886757
3755 Weymouth Woods Dr,Home,Single Family Residential,41.1648824,-81.8220306
1132 Mallet Hill Ct,Home,Single Family Residential,41.1185796,-81.8447593
7315 Spencer Lake Rd,Home,Single Family Residential,41.11538,-81.953243
979 Meadowlark Ln,Home,Single Family Residential,41.1518191,-81.855241
4050 Fox Meadow Dr,Home,Single Family Residential,41.0990166,-81.8344249
921 Marshall Ct,Home,Single Family Residential,41.1456391,-81.8876684
6084 Mint Hill Dr,Home,Single Family Residential,41.108751,-81.79866
2952 Sutton Ln,Home,Single Family Residential,41.195488,-81.825126
357 N Medina Line Rd,Home,Single Family Residential,41.1455736,-81.6859809
999 Concord Dr,Home,Single Family Residential,41.1253411,-81.843205
565 Huntley Dr,Home,Single Family Residential,41.152819,-81.707602
3832 Sharon Copley Rd,Home,Single Family Residential,41.10463,-81.826145
322 W Smith Rd,Home,Vacant Land,41.1360774,-81.8688644
7750 Neff Rd,Home,Single Family Residential,41.2076964,-81.9674381
5845 Northampton Dr,Home,Single Family Residential,41.1152145,-81.8596366
910 Lawrence St,Home,Single Family Residential,41.1244456,-81.8685977
5171 River Styx Rd,Home,Single Family Residential,41.1341239,-81.8120756
3394 Hardwood Hollow Rd,Home,Single Family Residential,41.142719,-81.8099251
925 S Court St,Home,Single Family Residential,41.123335,-81.8645013
6591 Spieth Rd,Home,Single Family Residential,41.1814107,-81.9243026
3443 Forest Lake Dr,Home,Single Family Residential,41.132646,-81.8112169
2060 Woodshire Ln,Home,Single Family Residential,41.106143,-81.7673318
63 Deer Lake Dr,Home,Vacant Land,41.167977,-81.8369984
4075 Timber Trl,Home,Single Family Residential,41.1358105,-81.8337298
6885 Black Tail Ct,Home,Single Family Residential,41.0863144,-81.8454333
7790 Neff Rd,Home,Single Family Residential,41.2076988,-81.9685886
6514 Wisteria Ln,Home,Single Family Residential,41.0967884,-81.8600372
Hickorycreek,Home,Vacant Land,41.179611,-81.76814
5183 Boneta Rd,Home,Single Family Residential,41.1341172,-81.775092
945 Chadwick Ln,Home,Single Family Residential,41.1538648,-81.8880097
2516 Pearl Rd,Home,Single Family Residential,41.2065823,-81.8419947
367 Bella Rosa Ct,Home,Single Family Residential,41.1631209,-81.871466
4055 Beck Rd,Home,Single Family Residential,41.163064,-81.950846
6439 Torington Dr,Home,Single Family Residential,41.0986782,-81.8446989
6020 Oban Ct,Home,Vacant Land,41.110885,-81.780364
937 Chadwick Ln,Home,Single Family Residential,41.153694,-81.8877496
6965 Spencer Lake Rd,Home,Single Family Residential,41.1120087,-81.9399912
4193 Maidstone Ln,Home,Single Family Residential,41.096095,-81.8388724
Foote,Home,Vacant Land,41.140701,-81.832542
3692 Forest Ridge Cir,Home,Single Family Residential,41.148095,-81.819856
7585 Branch Rd,Home,Single Family Residential,41.146114,-81.962187
4163 Paradise Rd,Home,Single Family Residential,41.0785406,-81.83804
4105 Paradise Rd,Home,Single Family Residential,41.080155,-81.836219
5440 Champion Creek Blvd,Home,Single Family Residential,41.1263507,-81.8239786
Wolff Rd,Home,Vacant Land,41.20038,-81.968372
2655 Bonnie Glen Rd,Home,Vacant Land,41.112619,-81.78296
4221 Mallard Bay,Home,Single Family Residential,41.1632154,-81.8367381
189 Hartford Dr,Home,Single Family Residential,41.1191474,-81.8710298
5525 Coverdale Way,Home,Single Family Residential,41.106012,-81.887124
3538 Reserve Dr,Home,Single Family Residential,41.1386612,-81.8143661
945 Brandywine Dr,Home,Single Family Residential,41.117723,-81.8448697
2477 Bonnie Glen Rd,Home,Vacant Land,41.112391,-81.776583
2515 Bonnie Glen Rd,Home,Vacant Land,41.112376,-81.77799
2551 Bonnie Glen Rd,Home,Vacant Land,41.112295,-81.779176
2635 Bonnie Glen Rd,Home,Vacant Land,41.112606,-81.782238
6000 Macdougall Ln,Home,Vacant Land,41.11178,-81.784386
6045 Macdougall Ln,Home,Vacant Land,41.110226,-81.78279
6027 Macdougall Ln,Home,Vacant Land,41.110777,-81.782749
6003 Macdougall Ln,Home,Vacant Land,41.111393,-81.782705
5998 Oban Ct,Home,Vacant Land,41.111437,-81.780356
6060 Oban Ct,Home,Vacant Land,41.109798,-81.78084
6070 Oban Ct,Home,Vacant Land,41.109056,-81.781201
6049 Oban Ct,Home,Vacant Land,41.109998,-81.778605
6031 Oban Ct,Home,Vacant Land,41.110554,-81.778547
6005 Oban Ct,Home,Vacant Land,41.111295,-81.778785
584 S Broadway St,Home,Single Family Residential,41.1318933,-81.862325
217 & 219 E North St,Home,Townhouse,41.1422672,-81.8618211
5941 Upland Ridge Dr,Home,Single Family Residential,41.1130701,-81.7943492
4390 Lexington Ridge Dr,Home,Single Family Residential,41.1127131,-81.8464063
4650 Seymour Dr,Home,Single Family Residential,41.1511103,-81.7765233
1102 Brynmar Ln,Home,Single Family Residential,41.113231,-81.8377412
4570 Seymour Dr,Home,Single Family Residential,41.1511438,-81.779172
216 W Washington St,Home,Single Family Residential,41.1378541,-81.8670616
5498 Indian Wells Dr,Home,Single Family Residential,41.1897199,-81.8816107
8060 Norwalk Rd,Home,Single Family Residential,41.163904,-81.980185
Chippewa Rd,Home,Vacant Land,41.076222,-81.921059
5975 Woodland View Dr,Home,Single Family Residential,41.1116398,-81.7970275
5322 Boneta Rd,Home,Single Family Residential,41.129619,-81.778908
5454 Indian Wells Dr,Home,Single Family Residential,41.188774,-81.8809281
745 Pleasant Valley Dr,Home,Single Family Residential,41.1310322,-81.8523815
SL 4 Mallory Ct,Home,Single Family Residential,41.162845,-81.869185
S/L 3 Mallory Ct,Home,Single Family Residential,41.163002,-81.868761
5710 Trystin Tree Dr,Home,Single Family Residential,41.1186362,-81.8264853
421 Strawberry Ln,Home,Single Family Residential,41.1464117,-81.843061
4800 Timber Creek Dr,Home,Single Family Residential,41.144054,-81.8176967
Stone Rd,Home,Vacant Land,41.154056,-81.927479
1024 Sturbridge Dr,Home,Single Family Residential,41.1200657,-81.841725
5843 Enfield Cir,Home,Single Family Residential,41.1147564,-81.8570334
888 Sunhaven Dr,Home,Single Family Residential,41.1240155,-81.8426928
3818 Weymouth Woods Dr,Home,Single Family Residential,41.1641486,-81.8243362
V/L Pearl & Hillview Rd,Home,Vacant Land,41.161515,-81.865061
Neff Rd,Home,Vacant Land,41.207173,-81.930478
8088 Chatham Rd,Home,Ranch,41.095622,-81.979994
429 E Abbeyville Rd Unit E-11,Home,Condo/Co-op,41.1473032,-81.8926332
3352 Hardwood Hollow Rd,Home,Single Family Residential,41.142711,-81.8078966
939 Coventry Ct,Home,Single Family Residential,41.1464775,-81.8888948
4889 Beach Rd,Home,Vacant Land,41.1424336,-81.7534152
6876 Lafayette Rd,Home,Single Family Residential,41.0869922,-81.9461719
6253 Highland Meadows Dr,Home,Single Family Residential,41.103388,-81.8532351
Sharon Copley Rd,Home,Vacant Land,41.108025,-81.852513
Sharon Copley Rd,Home,Vacant Land,41.10802,-81.850041
6389 Highland Green Dr,Home,Single Family Residential,41.1004316,-81.8515066
5190 Maplewood Farm Dr,Home,Single Family Residential,41.0836948,-81.8713072
5406 Indian Wells Dr,Home,Single Family Residential,41.187756,-81.8803308
643 W Liberty St,Home,Single Family Residential,41.1394768,-81.8744566
1080 Brandywine Dr,Home,Single Family Residential,41.1169349,-81.8387539
217 N Huntington St,Home,Single Family Residential,41.1412558,-81.8682137
5800 Wadsworth Rd,Home,Single Family Residential,41.1164465,-81.8483273
1065 E Smith Rd,Home,Single Family Residential,41.1316164,-81.8391499
4058 Fenn Rd,Home,Single Family Residential,41.1699572,-81.8324478
6040 Oban Ct,Home,Single Family Residential,41.110325,-81.780534
3838 Weymouth Woods Dr,Home,Single Family Residential,41.1642571,-81.8247631
6468 Equestrian St,Home,Single Family Residential,41.0983808,-81.7627438
3933 Argyle Ln,Home,Vacant Land,41.1685794,-81.7773845
927 Lancaster Dr,Home,Single Family Residential,41.1325739,-81.8445175
Brynwood Dr,Home,Vacant Land,41.105017,-81.793916
Smith Rd,Home,Vacant Land,41.135627,-81.899251
22 Colinas Rd,Home,Vacant Land,41.127765,-81.856374
1222 Winterberry Ln,Home,Single Family Residential,41.1827941,-81.7298763
2610 Mccarren Dr,Home,Vacant Land,41.1632259,-81.7804254
4038 Argyle Ln,Home,Vacant Land,41.1656203,-81.7793804
4368 Hamilton Rd,Home,Single Family Residential,41.1920024,-81.8430556
3521 Poe Rd,Home,Single Family Residential,41.092299,-81.814846
4538 Kingsbury Rd,Home,Vacant Land,41.208271,-81.848742
4975 Maple Heights Dr,Home,Single Family Residential,41.0816842,-81.8682623
1012 Gentry Dr,Home,Single Family Residential,41.1249972,-81.8421379
4073 Fox Meadow Dr,Home,Single Family Residential,41.1000628,-81.83499
200 Granger Rd #73,Home,Condo/Co-op,41.1542882,-81.6881534
21 N Medina Rd,Home,Single Family Residential,41.1359592,-81.6881357
8128 Lake Rd,Home,Single Family Residential,41.0534899,-81.903521
6468 Torington Dr,Home,Single Family Residential,41.0975262,-81.8455318
4510 Weymouth Rd,Home,Vacant Land,41.153277,-81.835041
Hunters Trl,Home,Vacant Land,41.196952,-81.917941
2640 Station Rd,Home,Single Family Residential,41.20261,-81.957249
4165 Maggie Marie Blvd,Home,Single Family Residential,41.1831263,-81.8488604
3668 Lovell Ln,Home,Single Family Residential,41.1760122,-81.7772709
1553 Medina Rd,Home,Single Family Residential,41.136531,-81.7428645
7085 River Styx Rd,Home,Single Family Residential,41.0812734,-81.804422
Emerald Run Rd,Home,Vacant Land,41.159107,-81.971789
4216 Ivory Rose Ct,Home,Single Family Residential,41.16022,-81.8276646
2820 State Rd,Home,Single Family Residential,41.200377,-81.7101689
2552 Lester,Home,Single Family Residential,41.204592,-81.9362139
2244 Remsen Rd,Home,Single Family Residential,41.1883869,-81.7666655
6444 Aberdeen Ln,Home,Single Family Residential,41.0976896,-81.8404091
4576 Cobblestone Park Dr,Home,Single Family Residential,41.0969433,-81.8534391
4396 Sharon Copley Rd,Home,Single Family Residential,41.105422,-81.846981
3718 Hunting Run Rd,Home,Single Family Residential,41.1459741,-81.821625
4782 Ridge Rd,Home,Single Family Residential,41.145077,-81.740894
3251-A Frantz Rd,Home,Single Family Residential,41.187014,-81.798608
Chestnut Cor,Home,Vacant Land,41.148012,-81.8162
3056 Seven Bridges Rd,Home,Single Family Residential,41.1896317,-81.888095
2245 Hickorycreek Dr,Home,Single Family Residential,41.1801292,-81.7671877
Brook Run Dr,Home,Vacant Land,41.122894,-81.833495
6181 Ballou Rd,Home,Single Family Residential,41.104626,-81.989729
4577 Joeys Ln,Home,Single Family Residential,41.1781598,-81.8512243
4325 Marks Rd,Home,Single Family Residential,41.156767,-81.875777
7460 Spencer Lake Rd,Home,Vacant Land,41.110186,-81.958822
799 N Court St,Home,Vacant Land,41.1486041,-81.8646547
5663 View Point Dr,Home,Single Family Residential,41.1209287,-81.7594962
513 Brenelle Ln,Home,Vacant Land,41.1420914,-81.7055919
Lafayette Rd,Home,Vacant Land,41.095089,-81.93761
63 Circle Dr,Home,Single Family Residential,41.1297688,-81.870443
4681 Salems Way,Home,Single Family Residential,41.1477486,-81.8106297
4061 Sapphire Ct,Home,Vacant Land,41.162849,-81.9686569
3001 Substation Rd,Home,Single Family Residential,41.1929075,-81.8599353
4455 Windfall,Home,Single Family Residential,41.153639,-81.784134
3436 Forest Lake Dr,Home,Single Family Residential,41.1320959,-81.8110354
4521 Maggie Marie Blvd,Home,Single Family Residential,41.181539,-81.84976
N Medina Line Rd,Home,Vacant Land,41.165497,-81.687357
6552 Wisteria Ln,Home,Single Family Residential,41.0949213,-81.8598448
3275 Frantz Rd,Home,Single Family Residential,41.1862796,-81.7986095
3085 Remsen Rd,Home,Vacant Land,41.1859684,-81.7971707
3035 Weymouth Rd,Home,Vacant Land,41.1891955,-81.7969168
6090 Ballou Rd,Home,Single Family Residential,41.1072658,-81.9933305
680 Huntley Dr,Home,Single Family Residential,41.1513165,-81.7112349
6354 Burrow Ct,Home,Single Family Residential,41.1018024,-81.8509945
7291 Stone Rd,Home,Single Family Residential,41.156293,-81.950159
4001 Foskett Rd,Home,Single Family Residential,41.207519,-81.829173
5456 Carriage Ln,Home,Single Family Residential,41.1165628,-81.8853222
2930 Stiegler Rd,Home,Single Family Residential,41.1943781,-81.9061371
6983 W Smith Rd,Home,Single Family Residential,41.1363322,-81.940247
6259 Ryan Rd,Home,Single Family Residential,41.104399,-81.881079
V/L Chippewa Rd,Home,Vacant Land,41.076763,-81.918852
3662 Hunting Run Rd,Home,Single Family Residential,41.1463569,-81.8195968
3796 Retreat Dr #44,Home,Townhouse,41.137723,-81.8241514
3730 Clay Mountain Dr,Home,Single Family Residential,41.1197479,-81.821689
3825 Fenn Rd,Home,Single Family Residential,41.171374,-81.8242342
223 W Smith Rd,Home,Vacant Land,41.136544,-81.867074
3855 Remsen Rd,Home,Single Family Residential,41.1858501,-81.8250819
5050 Hidden Lake Dr,Home,Single Family Residential,41.1772667,-81.8677056
6506 Chippewa Rd,Home,Vacant Land,41.074768,-81.923658
6486 Norwalk Rd,Home,Townhouse,41.1668428,-81.9208916
V/L Beach Rd,Home,Vacant Land,41.150972,-81.754833
270 Valentine Farms Ln,Home,Single Family Residential,41.159489,-81.698181
2604 Columbia Rd,Home,Single Family Residential,41.203193,-81.928288
S/L 7 Hidden Lake Dr,Home,Vacant Land,41.177923,-81.867723
3915 Pearl Rd,Home,Vacant Land,41.168237,-81.860647
9010 Chatham Rd,Home,Vacant Land,41.097053,-82.014349
8992 Chatham Rd,Home,Vacant Land,41.09704,-82.01363
8972 Chatham Rd,Home,Vacant Land,41.097026,-82.012904
3690 Eagle Point Ct,Home,Single Family Residential,41.151055,-81.819759
2900 Silver Ridge Trl,Home,Vacant Land,41.19688,-81.800526
4433 Maggie Marie Blvd,Home,Single Family Residential,41.1829625,-81.8462782
4002 Argyle Ln,Home,Vacant Land,41.1666104,-81.7794501
Rimrock Rd,Home,Vacant Land,41.205574,-81.966546
Kellsway Ct,Home,Vacant Land,41.207357,-81.966942
6233 Brynwood Dr,Home,Single Family Residential,41.1048744,-81.795319
4019 Weymouth Rd,Home,Single Family Residential,41.166417,-81.810669
Fox Vlg,Home,Vacant Land,41.158763,-81.862253
6788 Ryan Rd,Home,Single Family Residential,41.0886305,-81.8905265
2274 Jumper Knoll Dr,Home,Single Family Residential,41.102804,-81.7703035
4392 Regal Brook Dr,Home,Single Family Residential,41.1758497,-81.8459644
2200 Pearl Rd,Home,Vacant Land,41.215503,-81.843126
Regal Brook Dr,Home,Vacant Land,41.176642,-81.843451
VL Remsen,Home,Vacant Land,41.185,-81.813
4562 Maggie Marie Blvd,Home,Vacant Land,41.17899,-81.851729
6038 Lake Rd,Home,Single Family Residential,41.1090454,-81.8950906
6800 River Forest Dr,Home,Vacant Land,41.0875774,-81.8137244
S/L 13 River Forest Dr,Home,Vacant Land,41.089106,-81.812519
S/L 12 River Forest Dr,Home,Vacant Land,41.089106,-81.812519
2480 Bonnie Glen Rd,Home,Vacant Land,41.111367,-81.776589
6063 Oban Ct,Home,Vacant Land,41.109344,-81.778548
6067 Macdougall Ln,Home,Vacant Land,41.108793,-81.783249
6068 Macdougall Ln,Home,Vacant Land,41.108993,-81.784416
Carlton Rd,Home,Vacant Land,41.123193,-81.931433
Sharon Copley Rd,Home,Vacant Land,41.107745,-81.806966
River Styx Rd,Home,Vacant Land,41.105991,-81.806289
SL 16 Livia Ln,Home,Vacant Land,41.159293,-81.920966
SL 15 Livia Ln,Home,Vacant Land,41.159554,-81.92041
Medina Rd,Home,Vacant Land,41.13867,-81.809394
4528 Maggie Marie Blvd,Home,Vacant Land,41.180401,-81.849507
4565 Joeys Ln,Home,Vacant Land,41.1787155,-81.8509167
Fenn Rd,Home,Vacant Land,41.173622,-81.844802
4546 Maggie Marie Blvd,Home,Vacant Land,41.180039,-81.850486
4553 Maggie Marie Blvd,Home,Vacant Land,41.180966,-81.850787
4531 Maggie Marie Blvd,Home,Vacant Land,41.181283,-81.850188
4525 Joeys Ln,Home,Vacant Land,41.1794967,-81.8496157
4469 Joeys Ln,Home,Vacant Land,41.179161,-81.846486
4518 Maggie Marie Dr,Home,Vacant Land,41.180809,-81.849149
401 Valley Dr,Home,Single Family Residential,41.1243372,-81.8570014
4111 Sacramento Blvd,Home,Single Family Residential,41.1629023,-81.8490952
1168 N Jefferson St #49,Home,Townhouse,41.157951,-81.856551
4463 Grand Teton Dr,Home,Single Family Residential,41.153332,-81.873603
6781 Norwalk Rd,Home,Single Family Residential,41.169732,-81.931498
Northwood,Home,Single Family Residential,41.143245,-81.8552196
Sebastian,Home,Single Family Residential,41.143245,-81.8552196
Vanderburgh,Home,Single Family Residential,41.143245,-81.8552196
Fairborn,Home,Single Family Residential,41.143245,-81.8552196
Dempsey,Home,Single Family Residential,41.143245,-81.8552196
Chester,Home,Single Family Residential,41.143245,-81.8552196
Burke,Home,Single Family Residential,41.143245,-81.8552196
Buchanan,Home,Single Family Residential,41.143245,-81.8552196
Brennan,Home,Single Family Residential,41.143245,-81.8552196
Belleville,Home,Single Family Residential,41.143245,-81.8552196
Ashton,Home,Single Family Residential,41.143245,-81.8552196
Beachwood,Home,Single Family Residential,41.143245,-81.8552196
90 Prospect St,Home,Single Family Residential,40.0440768,-82.4068539
466 E Sherwood Dr E,Home,Single Family Residential,40.0696405,-82.4176941
1678 Greer Dr W,Home,Single Family Residential,40.0459957,-82.4629846
313 N 30th St,Home,Single Family Residential,40.0576358,-82.4411473
1576 Wynnewood Dr,Home,Single Family Residential,40.0910145,-82.4346286
215 Gregory Dr,Home,Single Family Residential,40.1056374,-82.433655
435 Ballard Ave,Home,Single Family Residential,40.0690402,-82.3819064
4444 Montgomery Rd NE,Home,Single Family Residential,40.1175354,-82.2945412
1212 Wintermute Ave,Home,Single Family Residential,40.0470402,-82.4472421
106 Oakwood,Home,Single Family Residential,40.0623309,-82.3816099
947 Lawnview Ave,Home,Single Family Residential,40.0571283,-82.4370414
60 Sinalda Ave SE,Home,Single Family Residential,40.0554052,-82.2282109
409 Wehrle Ave,Home,Single Family Residential,40.0489671,-82.4146031
151 S 31st St,Home,Single Family Residential,40.0443326,-82.4436022
235 W Church St,Home,Multi-Family (2-4 Unit),40.056848,-82.4126976
379 Maple Ave,Home,Multi-Family (2-4 Unit),40.0691411,-82.4058375
75 N 31st St,Home,Single Family Residential,40.0507843,-82.4429673
1476 Pleasant Valley Dr,Home,Single Family Residential,40.0695617,-82.4554524
186 S 2nd St,Home,Single Family Residential,40.0524708,-82.3977323
294 Jefferson Rd,Home,Single Family Residential,40.0722425,-82.4197265
95 Ramona Ave,Home,Single Family Residential,40.0459889,-82.4702199
12630 Wilkins Run Rd NE,Home,Mobile/Manufactured Home,40.1199641,-82.3106999
766 Crawford Rd,Home,Single Family Residential,40.0694271,-82.4305435
4646 Fallsburg Rd NE,Home,Single Family Residential,40.109526,-82.353652
142 Day Ave,Home,Single Family Residential,40.0553437,-82.4262042
289 Newton Ave,Home,Single Family Residential,40.0814359,-82.4220975
53 Parker Ave,Home,Single Family Residential,40.0578325,-82.3780089
130 Conn Dr,Home,Single Family Residential,40.0863486,-82.2839364
368 Montgomery Ave,Home,Single Family Residential,40.0697291,-82.3718232
426 Allston Ave,Home,Single Family Residential,40.0711735,-82.3816522
12157 Eddyburg Rd NE,Home,Single Family Residential,40.1181196,-82.3170606
664 Robinson Dr,Home,Single Family Residential,40.0729678,-82.4332317
1803 Olympic Ct,Home,Single Family Residential,40.065025,-82.464084
2091 Riggs Rd,Home,Single Family Residential,40.1059434,-82.4407663
185 W Locust St,Home,Single Family Residential,40.0585995,-82.4114696
3728 London Hollow Rd NE,Home,Vacant Land,40.1097849,-82.3269751
1006 Guckert Ave,Home,Single Family Residential,40.0530641,-82.4394542
248 Montgomery Ave,Home,Single Family Residential,40.0663,-82.3735604
1910 Cherry Valley Rd,Home,Single Family Residential,40.0436137,-82.4698391
8429 Wince Rd,Home,Vacant Land,40.1787905,-82.4548636
8431 Wince Rd,Home,Vacant Land,40.1787905,-82.4548636
1599 Stonewall Dr,Home,Single Family Residential,40.070416,-82.459632
299 N 30th St,Home,Single Family Residential,40.0572083,-82.4411579
11208 Eddyburg Rd NE,Home,Mobile/Manufactured Home,40.11103,-82.332761
138 N Buena Vista St,Home,Single Family Residential,40.063772,-82.3932165
669 Kennedy St,Home,Single Family Residential,40.076129,-82.426587
424 Highbanks Valley Ct,Home,Single Family Residential,40.0522187,-82.4851535
76 Fairfield Dr,Home,Single Family Residential,40.080425,-82.356477
41 S 24th St,Home,Single Family Residential,40.0493257,-82.4346709
413 New Haven Ave,Home,Single Family Residential,40.072683,-82.3822029
208 Fairfield Ave,Home,Single Family Residential,40.071149,-82.4170166
98 Fairfield Ave,Home,Single Family Residential,40.0709648,-82.4129941
988 Garfield Ave,Home,Single Family Residential,40.0668582,-82.3627132
170 S Williams St,Home,Single Family Residential,40.0482343,-82.4259079
382 Clarendon St,Home,Single Family Residential,40.0661597,-82.3901667
875 Golden Dr,Home,Vacant Land,40.0741311,-82.462487
1673 Londondale Pkwy,Home,Single Family Residential,40.065979,-82.461611
228 Fairfield Ave,Home,Single Family Residential,40.0711934,-82.4176941
60 Millie Ln,Home,Single Family Residential,40.080034,-82.283436
855 Golden Dr,Home,Vacant Land,40.0735224,-82.4629858
15 W Oak St,Home,Single Family Residential,40.0667381,-82.4074467
831 Jones Ave,Home,Single Family Residential,40.065845,-82.368476
145 Arthur Ave,Home,Single Family Residential,40.0800794,-82.2976588
2507 Pleasant Crest Ct,Home,Single Family Residential,40.0499329,-82.4904408
507 Beacon Rd,Home,Single Family Residential,40.0453294,-82.3968167
12054 Eddyburg Rd NE,Home,Single Family Residential,40.1156999,-82.319558
0 Cherry St Lot 387 & 388,Home,Vacant Land,40.080011,-82.4083835
15 Grant St,Home,Single Family Residential,40.0470369,-82.4222245
740 Westwood Dr,Home,Single Family Residential,40.0632241,-82.4672794
1513 Highpoint Dr,Home,Single Family Residential,40.0723121,-82.4554947
988 Jason Ct,Home,Vacant Land,40.0603238,-82.4376526
2008 Edison St,Home,Condo/Co-op,40.110955,-82.431001
1992 Edison St,Home,Condo/Co-op,40.110955,-82.431001
573 Hudson Ave,Home,Single Family Residential,40.0744547,-82.4109615
496 Courtney Dr,Home,Single Family Residential,40.095688,-82.437932
231 Boyleston Ave,Home,Single Family Residential,40.0658823,-82.3847447
279 N 21st St,Home,Single Family Residential,40.0596214,-82.430099
9010 Painter Run,Home,Vacant Land,40.1827501,-82.2810092
1808 Sutton Pl,Home,Single Family Residential,40.0638017,-82.4678929
30 N Morris St,Home,Single Family Residential,40.0604688,-82.3921893
39 Cottage St,Home,Single Family Residential,40.0765326,-82.4135022
496 Granville St,Home,Single Family Residential,40.0648521,-82.4254422
2017 Dumont St,Home,Condo/Co-op,40.1111188,-82.4298615
79 Neptune,Home,Condo/Co-op,40.0581205,-82.4012642
2004 Edison St,Home,Condo/Co-op,40.110892,-82.430376
5844 Mount Vernon Rd,Home,Mobile/Manufactured Home,40.140763,-82.425053
625 Country Club Dr Unit H5,Home,Condo/Co-op,40.063142,-82.4526384
11120 Eddyburg Rd NE,Home,Single Family Residential,40.110416,-82.3346554
0 Normandy Dr,Home,Vacant Land,40.071342,-82.469095
1229 Normandy Dr,Home,Vacant Land,40.067487,-82.472522
1270 Saxony Dr,Home,Vacant Land,40.068714,-82.472913
1228 Saxony Dr,Home,Vacant Land,40.06754,-82.473003
828 E Main St,Home,Single Family Residential,40.061094,-82.369387
28 Poplar Ave,Home,Single Family Residential,40.0528168,-82.405287
165 S 3rd St,Home,Vacant Land,40.052068,-82.400226
1372 Twin Pines Trl Unit C,Home,Condo/Co-op,40.0799985,-82.454595
32 Oakwood Ave,Home,Single Family Residential,40.0600722,-82.3817793
0 Roger Rd,Home,Vacant Land,40.111559,-82.402308
522 Mount Vernon Rd,Home,Single Family Residential,40.071758,-82.41158
1106 Hilltop Dr,Home,Single Family Residential,40.0706769,-82.447221
77 N Pine St,Home,Single Family Residential,40.0554109,-82.4217588
243 Jefferson St,Home,Single Family Residential,40.0527575,-82.4177364
43 Alpine Blvd SE,Home,Single Family Residential,40.0556698,-82.2291688
53 Penney Ave,Home,Single Family Residential,40.0609019,-82.3847023
709 Howell Dr,Home,Single Family Residential,40.0606129,-82.462663
0 Dayton Rd NE,Home,Vacant Land,40.097885,-82.354395
1381 Meggin Melanne Ln,Home,Vacant Land,40.074373,-82.453721
0 Brentview Dr Lot 125,Home,Vacant Land,40.0857239,-82.3477106
0 Brentview Dr Lot 123,Home,Vacant Land,40.0857296,-82.3477101
0 Brentview Dr Lot 122,Home,Vacant Land,40.0858651,-82.348468
187 Auburn Dr,Home,Single Family Residential,40.0429427,-82.4937737
0 Fallsburg Rd NE,Home,Vacant Land,40.093203,-82.370774
70 Western Ave,Home,Single Family Residential,40.0563673,-82.4144761
208 Wilson St,Home,Single Family Residential,40.0530582,-82.4133646
0 Horns Hill Rd Lot 2,Home,Vacant Land,40.1148559,-82.4056953
328 Mt Vernon Rd,Home,Single Family Residential,40.0666741,-82.4085914
0 Horns Hill Rd Lot 1,Home,Vacant Land,40.1148559,-82.4056953
106 S 1st St,Home,Mobile/Manufactured Home,40.0550362,-82.3972402
2000 Edison St,Home,Condo/Co-op,40.110955,-82.431001
0 Newton Rd Lot 10,Home,Vacant Land,40.133001,-82.396364
0 Newton Rd Lot 11,Home,Vacant Land,40.132601,-82.396746
0 Newton Rd Lot 9,Home,Vacant Land,40.132511,-82.397042
0 Newton Rd Lot 8,Home,Vacant Land,40.132659,-82.397288
0 Horns Hill Rd Lot 7,Home,Vacant Land,40.1148559,-82.4056953
0 Horns Hill Rd NE Lot 6,Home,Vacant Land,40.1148559,-82.4056953
0 Horns Hill Rd NE Lot 5,Home,Vacant Land,40.1148559,-82.4056953
0 Horns Hill Rd NE Lot 4,Home,Vacant Land,40.1148559,-82.4056953
486 Hudson Ave,Home,Single Family Residential,40.071736,-82.4089712
6331 Horns Hill Rd,Home,Single Family Residential,40.1466346,-82.4024495
536 Westwood Dr,Home,Single Family Residential,40.0573189,-82.4677902
395 Mt Vernon Rd,Home,Single Family Residential,40.0684244,-82.4098811
236 Central Ave,Home,Single Family Residential,40.0628941,-82.4119778
2121 Montgomery Rd NE,Home,Single Family Residential,40.089459,-82.312212
